gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto,throughput,latency
2.0,3625,122,6,0,0,1,862955.0,602112.0,0.0,862.955,0.602112
2.0,4,18,0,0,0,0,857576.0,593920.0,0.0,857.576,0.59392
2.0,3884,95,0,1,2,2,863241.0,2072576.0,0.0,863.241,2.072576
2.0,1691,39,0,1,1,2,861407.0,741376.0,0.0,861.407,0.741376
2.0,3935,124,0,1,2,2,858177.0,659456.0,0.0,858.177,0.659456
2.0,4,1,0,0,0,0,855720.0,593920.0,0.0,855.72,0.59392
2.0,2192,42,0,1,2,2,855966.0,659456.0,0.0,855.966,0.659456
2.0,3136,18,0,1,2,2,846195.0,602112.0,0.0,846.195,0.602112
2.0,1922,30,0,0,2,2,849608.0,643072.0,0.0,849.608,0.643072
2.0,3060,18,0,1,2,1,831816.0,593920.0,0.0,831.816,0.59392
2.0,2187,89,0,1,0,2,853234.0,659456.0,0.0,853.234,0.659456
2.0,2252,88,0,1,2,2,845002.0,602112.0,0.0,845.002,0.602112
2.0,419,53,0,0,0,2,851085.0,1003520.0,0.0,851.085,1.00352
2.0,3181,16,0,1,2,2,838462.0,684032.0,0.0,838.462,0.684032
2.0,2638,100,0,1,1,1,843820.0,798720.0,0.0,843.82,0.79872
2.0,3136,21,0,1,2,0,838193.0,610304.0,0.0,838.193,0.610304
2.0,143,32,3,1,0,2,681580.0,602112.0,0.0,681.58,0.602112
2.0,2488,79,6,0,0,1,846273.0,2637824.0,0.0,846.273,2.637824
2.0,3884,127,0,1,2,1,836666.0,610304.0,0.0,836.666,0.610304
2.0,384,45,5,2,1,2,799369.0,610304.0,0.0,799.369,0.610304
2.0,2252,88,0,1,0,2,814227.0,1187840.0,0.0,814.227,1.18784
2.0,2050,64,3,1,1,1,790300.0,618496.0,0.0,790.3,0.618496
2.0,253,6,6,1,0,0,792724.0,626688.0,0.0,792.724,0.626688
2.0,1691,39,0,1,1,2,790156.0,610304.0,0.0,790.156,0.610304
2.0,3585,47,5,2,2,2,796142.0,1056768.0,0.0,796.142,1.056768
2.0,1045,9,2,2,2,1,739429.0,610304.0,0.0,739.429,0.610304
2.0,2501,34,2,1,1,0,785932.0,618496.0,0.0,785.932,0.618496
2.0,253,6,6,1,0,0,789976.0,634880.0,0.0,789.976,0.63488
2.0,3915,127,1,2,2,2,782305.0,618496.0,0.0,782.305,0.618496
2.0,361,45,2,2,2,2,788611.0,1073152.0,0.0,788.611,1.073152
3.0,1691,39,0,1,0,1,864965.0,481280.0,1.0,864.965,0.48128
3.0,2859,46,6,2,0,1,947126.0,493568.0,1.0,947.126,0.493568
3.0,844,51,0,0,1,1,1011256.0,509952.0,1.0,1011.256,0.509952
3.0,3902,88,0,1,2,2,855685.0,477184.0,1.0,855.685,0.477184
3.0,1251,78,0,0,0,1,850781.0,460800.0,1.0,850.781,0.4608
3.0,2569,78,0,2,0,1,968262.0,569344.0,0.0,968.262,0.569344
3.0,311,29,0,0,0,1,837033.0,561152.0,0.0,837.033,0.561152
3.0,2541,35,0,0,0,0,833903.0,464896.0,0.0,833.903,0.464896
3.0,2883,46,2,2,0,1,905764.0,577536.0,0.0,905.764,0.577536
3.0,1226,37,4,0,1,0,915599.0,585728.0,0.0,915.599,0.585728
3.0,844,51,1,2,2,1,942355.0,593920.0,0.0,942.355,0.59392
3.0,2026,51,5,1,0,1,822155.0,569344.0,0.0,822.155,0.569344
3.0,3256,24,0,0,2,1,821390.0,468992.0,0.0,821.39,0.468992
