exp,throughput,latency
rand_write,387623.0,93847552.0
rand_write,383031.0,73924608.0
rand_write,390450.0,66846720.0
rand_write,390733.0,49545216.0
rand_write,354764.0,73924608.0
rand_write,390325.0,54788096.0
rand_write,384503.0,74973184.0
rand_write,410117.0,70778880.0
rand_write,394774.0,78118912.0
rand_write,436465.0,55836672.0
rand_write,404322.0,84410368.0
rand_write,395733.0,60555264.0
rand_write,370688.0,58458112.0
rand_write,393416.0,61079552.0
rand_write,410034.0,82313216.0
rand_write,396331.0,78118912.0
rand_write,424090.0,78118912.0
rand_write,396155.0,57409536.0
rand_write,404530.0,62652416.0
rand_write,411526.0,69730304.0
rand_write,419080.0,63700992.0
rand_write,407828.0,66322432.0
rand_write,401580.0,41680896.0
rand_write,407741.0,58982400.0
rand_write,389774.0,73924608.0
rand_write,363065.0,73924608.0
rand_write,389606.0,74973184.0
rand_write,343441.0,69730304.0
rand_write,415665.0,80216064.0
rand_write,412155.0,80216064.0
rand_write,412114.0,62128128.0
rand_write,364668.0,88604672.0
rand_write,360914.0,76021760.0
rand_write,411045.0,74973184.0
rand_write,415077.0,58458112.0
rand_write,343975.0,94896128.0
rand_write,390877.0,68681728.0
rand_write,369857.0,68681728.0
rand_write,381785.0,70778880.0
rand_write,369446.0,56360960.0
rand_write,423713.0,79167488.0
rand_write,396975.0,86507520.0
rand_write,385560.0,55312384.0
rand_write,405584.0,70778880.0
rand_write,391046.0,63176704.0
rand_write,388649.0,91750400.0
rand_write,393234.0,56360960.0
rand_write,348090.0,128450560.0
rand_write,370054.0,79167488.0
rand_write,411782.0,58982400.0
rand_write,411153.0,64749568.0
rand_write,387020.0,81264640.0
rand_write,387848.0,57933824.0
rand_write,400104.0,62652416.0
rand_write,367453.0,80216064.0
rand_write,354009.0,102236160.0
rand_write,391344.0,67633152.0
rand_write,401014.0,84410368.0
rand_write,376464.0,64749568.0
rand_write,404004.0,78118912.0
rand_write,389447.0,65798144.0
rand_write,389132.0,76021760.0
rand_write,376412.0,83361792.0
rand_write,404159.0,74973184.0
