gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,write_throughput,write_latency,is_pareto,throughput,latency
5.0,2876,19,6,0,0,1,420349.0,79167488.0,0.0,420.349,79.167488
6.0,15,67,0,0,0,0,422043.0,42729472.0,1.0,422.043,42.729472
6.0,4,2,0,0,0,1,432127.0,67633152.0,1.0,432.127,67.633152
6.0,3774,89,5,0,0,0,424692.0,45875200.0,1.0,424.692,45.8752
6.0,715,1,4,0,0,1,432021.0,57933824.0,1.0,432.021,57.933824
6.0,4079,127,3,1,0,0,404431.0,41156608.0,1.0,404.431,41.156608
6.0,809,64,3,1,0,1,426197.0,50593792.0,1.0,426.197,50.593792
6.0,3666,22,0,0,0,0,407583.0,43778048.0,0.0,407.583,43.778048
6.0,22,5,0,0,0,0,431721.0,62128128.0,0.0,431.721,62.128128
6.0,4,63,0,0,0,0,391946.0,42729472.0,0.0,391.946,42.729472
6.0,687,126,4,0,0,1,424018.0,56885248.0,0.0,424.018,56.885248
6.0,3666,22,0,0,0,0,408482.0,54788096.0,0.0,408.482,54.788096
6.0,136,1,1,0,0,0,418251.0,55836672.0,0.0,418.251,55.836672
6.0,2344,1,4,0,0,0,426144.0,58982400.0,0.0,426.144,58.9824
6.0,3012,111,0,0,0,0,395611.0,46399488.0,0.0,395.611,46.399488
6.0,706,48,4,0,0,0,407007.0,47972352.0,0.0,407.007,47.972352
6.0,3160,80,4,0,0,2,427494.0,70778880.0,0.0,427.494,70.77888
6.0,2876,19,6,0,0,1,426578.0,68681728.0,0.0,426.578,68.681728
6.0,3363,127,0,1,0,0,371304.0,43253760.0,0.0,371.304,43.25376
6.0,22,5,0,0,0,0,417322.0,55836672.0,0.0,417.322,55.836672
6.0,113,60,0,0,0,2,424057.0,61079552.0,0.0,424.057,61.079552
6.0,3637,22,0,0,0,0,424526.0,63700992.0,0.0,424.526,63.700992
6.0,911,12,0,0,0,2,418660.0,60555264.0,0.0,418.66,60.555264
6.0,548,4,5,1,0,0,402065.0,53739520.0,0.0,402.065,53.73952
6.0,647,45,5,1,0,0,382398.0,50069504.0,0.0,382.398,50.069504
6.0,647,45,5,1,0,0,380037.0,49545216.0,0.0,380.037,49.545216
6.0,3982,122,3,1,0,0,403122.0,54788096.0,0.0,403.122,54.788096
6.0,1459,106,4,0,0,2,399415.0,52690944.0,0.0,399.415,52.690944
6.0,535,1,5,1,0,1,386040.0,52166656.0,0.0,386.04,52.166656
6.0,1832,126,2,0,0,0,416907.0,58458112.0,0.0,416.907,58.458112
6.0,73,67,0,0,0,0,415638.0,56885248.0,0.0,415.638,56.885248
6.0,686,119,0,0,0,0,421599.0,61079552.0,0.0,421.599,61.079552
6.0,561,3,0,0,0,0,423231.0,68681728.0,0.0,423.231,68.681728
6.0,2997,120,0,0,0,2,422272.0,64749568.0,0.0,422.272,64.749568
6.0,4,45,0,0,0,1,424190.0,74973184.0,0.0,424.19,74.973184
6.0,2876,20,6,0,0,0,418329.0,60555264.0,0.0,418.329,60.555264
6.0,3713,89,5,0,0,0,400612.0,54263808.0,0.0,400.612,54.263808
6.0,1483,108,4,0,0,2,377150.0,50069504.0,0.0,377.15,50.069504
6.0,3618,50,4,0,0,2,402741.0,55312384.0,0.0,402.741,55.312384
6.0,2050,64,3,1,0,1,395842.0,53739520.0,0.0,395.842,53.73952
